File,Width,Height,Mode,Format,Size,Author,Device,Exposure,Object Detected
./images_from_G/LAS4 - Arek - 65 (9).jpg,4320,3240,RGB,JPEG,3565481,,Canon PowerShot SX150 IS,1/13,[]
./images_from_G/LAS4 - Arek - 65 (10).jpg,4320,3240,RGB,JPEG,3578600,,Canon PowerShot SX150 IS,1/15,[]
./images_from_G/LAS4 - Arek - 65 (11).jpg,4320,3240,RGB,JPEG,3864651,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS4 - Arek - 65 (12).jpg,4320,3240,RGB,JPEG,4481455,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS4 - Arek - 65 (13).jpg,4320,3240,RGB,JPEG,3468298,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS4 - Arek - 65 (14).jpg,4320,3240,RGB,JPEG,3682717,,Canon PowerShot SX150 IS,1/13,[]
./images_from_G/LAS4 - Arek - 65 (15).jpg,4320,3240,RGB,JPEG,3657955,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS4 - Arek - 65.jpg,4320,3240,RGB,JPEG,3513617,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS4 - Arek - 65 (1).jpg,4320,3240,RGB,JPEG,3363591,,Canon PowerShot SX150 IS,1/8,[]
./images_from_G/Gaik (1).jpg,4320,3240,RGB,JPEG,3634117,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/Gaik (2).jpg,4320,3240,RGB,JPEG,4474013,,Canon PowerShot SX150 IS,1/100,[]
./images_from_G/LAS3 STRONA ! - Arek - 38.jpg,4320,3240,RGB,JPEG,3277762,,Canon PowerShot SX150 IS,1/10,['broccoli']
./images_from_G/LAS3 STRONA ! - Arek - 38 (1).jpg,4320,3240,RGB,JPEG,3279576,,Canon PowerShot SX150 IS,1/640,[]
./images_from_G/LAS3 STRONA ! - Arek - 38 (2).jpg,4320,3240,RGB,JPEG,4036634,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS3 STRONA ! - Arek - 38 (3).jpg,4320,3240,RGB,JPEG,2880327,,Canon PowerShot SX150 IS,1/25,[]
./images_from_G/LAS3 STRONA ! - Arek - 38 (4).jpg,4320,3240,RGB,JPEG,4217236,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS3 STRONA ! - Arek - 38 (5).jpg,4320,3240,RGB,JPEG,3117566,,Canon PowerShot SX150 IS,1/13,[]
./images_from_G/LAS3 Strona 2 - Arek - 40.jpg,4320,3240,RGB,JPEG,2151901,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS3 Strona 2 - Arek - 40 (1).jpg,4320,3240,RGB,JPEG,3763709,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS3 Strona 2 - Arek - 40 (2).jpg,4320,3240,RGB,JPEG,3635913,,Canon PowerShot SX150 IS,1/20,[]
./images_from_G/LAS3 Strona 2 - Arek - 40 (3).jpg,4320,3240,RGB,JPEG,4109568,,Canon PowerShot SX150 IS,1/20,[]
