SliceLocation,CTDIvol
-198.0,4.499999999999999
-216.0,5.924999999999999
-24.0,12.45
-51.0,11.674999999999999
-54.0,11.499999999999998
-66.0,9.85
-234.0,6.95
-108.0,7.225
-213.0,5.574999999999999
-87.0,8.399999999999999
-96.0,7.974999999999999
-195.0,4.674999999999999
-270.0,7.924999999999998
-75.0,8.9
-45.0,12.175
-123.0,6.325
-279.0,8.025
-141.0,6.049999999999999
-21.0,12.45
-168.0,5.725
-72.0,9.349999999999998
-48.0,11.899999999999997
-147.0,5.849999999999999
-102.0,7.549999999999999
-78.0,8.825
-207.0,5.124999999999999
-36.0,12.45
-120.0,6.499999999999998
-90.0,8.225
-255.0,7.724999999999999
-252.0,7.624999999999999
-261.0,7.799999999999999
-219.0,6.175
-246.0,7.5249999999999995
-273.0,7.899999999999999
-282.0,8.249999999999998
-222.0,6.374999999999999
-150.0,5.7749999999999995
-60.0,10.649999999999997
-249.0,7.65
3.0,11.924999999999999
6.0,11.575
-111.0,7.05
-201.0,4.624999999999999
-183.0,5.299999999999999
-63.0,10.224999999999998
-285.0,8.45
-42.0,12.424999999999999
-171.0,5.625
-228.0,6.699999999999998
-204.0,4.8
-231.0,6.7749999999999995
-177.0,5.7
-165.0,5.675
-126.0,6.225
-18.0,12.45
-84.0,8.574999999999998
-153.0,5.7
-27.0,12.424999999999999
-240.0,7.174999999999999
-30.0,12.45
-39.0,12.45
-114.0,6.85
0.0,12.124999999999998
-258.0,7.924999999999998
-264.0,7.724999999999999
-144.0,5.975
-276.0,7.85
-237.0,7.099999999999999
-81.0,8.7
-225.0,6.5249999999999995
-57.0,11.024999999999999
-189.0,4.8999999999999995
-243.0,7.274999999999999
-129.0,6.1499999999999995
-156.0,5.625
-180.0,5.55
-210.0,5.2749999999999995
-135.0,6.125
-15.0,12.45
-93.0,8.125
-132.0,6.175
-12.0,12.45
-162.0,5.625
-186.0,5.0
-288.0,8.549999999999999
-99.0,7.724999999999999
-267.0,7.749999999999998
-159.0,5.55
-138.0,6.099999999999999
-33.0,12.45
-105.0,7.349999999999999
-3.0,12.324999999999998
-192.0,4.824999999999999
-174.0,5.574999999999999
-9.0,12.45
-6.0,12.45
-117.0,6.624999999999999
-69.0,9.649999999999999
